[2026-02-10 10:01:14] [INFO    ] [Worker-1] Worker-1 initializing PaddleOCR model... | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-2] Thread env — OMP=5, MKL=5, NUMEXPR=5 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-2] Worker-2 initializing PaddleOCR model... | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-4] Worker-4 process started (PID=59421) | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-4] Thread env — OMP=5, MKL=5, NUMEXPR=5 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-4] Worker-4 initializing PaddleOCR model... | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-3] Worker-3 process started (PID=59420) | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-3] Thread env — OMP=5, MKL=5, NUMEXPR=5 | fname=INIT
[2026-02-10 10:01:14] [INFO    ] [Worker-3] Worker-3 initializing PaddleOCR model... | fname=INIT
[2026-02-10 10:01:22] [INFO    ] [Worker-1] Worker-1 PaddleOCR model initialized in 7.26s | fname=INIT
[2026-02-10 10:01:22] [INFO    ] [Worker-1] Worker-1 entering processing loop | fname=INIT
[2026-02-10 10:01:22] [DEBUG   ] [Worker-1] Worker-1 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:22] [INFO    ] [Worker-1] Worker-1 picked up task | fname=0001_1700000163_2025_01.PDF
[2026-02-10 10:01:22] [DEBUG   ] [MainProcess] File enqueued successfully (6/10) | fname=0001_1700000451_2025_01.PDF
[2026-02-10 10:01:22] [INFO    ] [Worker-1] Worker-1 starting OCR (0.02 MB) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 10:01:22] [DEBUG   ] [MainProcess] Putting file 7/10 into queue | fname=0001_1700000454_2025_01.PDF
[2026-02-10 10:01:22] [INFO    ] [Worker-2] Worker-2 PaddleOCR model initialized in 7.32s | fname=INIT
[2026-02-10 10:01:22] [INFO    ] [Worker-2] Worker-2 entering processing loop | fname=INIT
[2026-02-10 10:01:22] [DEBUG   ] [Worker-2] Worker-2 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:22] [DEBUG   ] [MainProcess] File enqueued successfully (7/10) | fname=0001_1700000454_2025_01.PDF
[2026-02-10 10:01:22] [DEBUG   ] [MainProcess] Putting file 8/10 into queue | fname=0001_1700000455_2025_01.PDF
[2026-02-10 10:01:22] [INFO    ] [Worker-2] Worker-2 picked up task | fname=0001_1700000356_2025_02.PDF
[2026-02-10 10:01:22] [INFO    ] [Worker-2] Worker-2 starting OCR (0.02 MB) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 10:01:22] [INFO    ] [Worker-3] Worker-3 PaddleOCR model initialized in 7.39s | fname=INIT
[2026-02-10 10:01:22] [INFO    ] [Worker-3] Worker-3 entering processing loop | fname=INIT
[2026-02-10 10:01:22] [DEBUG   ] [Worker-3] Worker-3 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:22] [INFO    ] [Worker-3] Worker-3 picked up task | fname=0001_1700000446_2025_01.PDF
[2026-02-10 10:01:22] [INFO    ] [Worker-3] Worker-3 starting OCR (0.25 MB) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 10:01:22] [DEBUG   ] [MainProcess] File enqueued successfully (8/10) | fname=0001_1700000455_2025_01.PDF
[2026-02-10 10:01:22] [DEBUG   ] [MainProcess] Putting file 9/10 into queue | fname=0002_1700000096_2025_01.PDF
[2026-02-10 10:01:22] [INFO    ] [Worker-4] Worker-4 PaddleOCR model initialized in 7.66s | fname=INIT
[2026-02-10 10:01:22] [INFO    ] [Worker-4] Worker-4 entering processing loop | fname=INIT
[2026-02-10 10:01:22] [DEBUG   ] [Worker-4] Worker-4 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:22] [DEBUG   ] [MainProcess] File enqueued successfully (9/10) | fname=0002_1700000096_2025_01.PDF
[2026-02-10 10:01:22] [INFO    ] [Worker-4] Worker-4 picked up task | fname=0001_1700000448_2025_01.PDF
[2026-02-10 10:01:22] [DEBUG   ] [MainProcess] Putting file 10/10 into queue | fname=0038_1700000012_2025_01.PDF
[2026-02-10 10:01:22] [INFO    ] [Worker-4] Worker-4 starting OCR (0.76 MB) | fname=0001_1700000448_2025_01.PDF
[2026-02-10 10:01:23] [INFO    ] [Worker-0] Worker-0 PaddleOCR model initialized in 8.80s | fname=INIT
[2026-02-10 10:01:23] [INFO    ] [Worker-0] Worker-0 entering processing loop | fname=INIT
[2026-02-10 10:01:23] [DEBUG   ] [Worker-0] Worker-0 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:23] [DEBUG   ] [MainProcess] File enqueued successfully (10/10) | fname=0038_1700000012_2025_01.PDF
[2026-02-10 10:01:23] [INFO    ] [MainProcess] All 10 files enqueued in 8.838s | fname=ENQUEUE
[2026-02-10 10:01:23] [INFO    ] [Worker-0] Worker-0 picked up task | fname=0001_1700000449_2025_01.PDF
[2026-02-10 10:01:23] [INFO    ] [MainProcess] Sending 5 sentinel(s) to shut down workers | fname=SHUTDOWN
[2026-02-10 10:01:23] [INFO    ] [Worker-0] Worker-0 starting OCR (0.28 MB) | fname=0001_1700000449_2025_01.PDF
[2026-02-10 10:01:36] [INFO    ] [Worker-1] Worker-1 OCR completed in 14.72s | fname=0001_1700000163_2025_01.PDF
[2026-02-10 10:01:36] [INFO    ] [Worker-1] Worker-1 extracted 30 lines from 2 page(s) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 10:01:36] [INFO    ] [Worker-1] Worker-1 output written to ./ocr_output/0001_1700000163_2025_01.PDF.txt (0.0002s) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 10:01:36] [INFO    ] [Worker-1] Worker-1 completed (OCR=14.72s, total=14.72s) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 10:01:36] [DEBUG   ] [Worker-1] Worker-1 waiting for next task from queue | fname=QUEUE_WAIT
[2026-02-10 10:01:36] [INFO    ] [Worker-1] Worker-1 picked up task | fname=0001_1700000451_2025_01.PDF
[2026-02-10 10:01:36] [INFO    ] [Worker-1] Worker-1 starting OCR (0.01 MB) | fname=0001_1700000451_2025_01.PDF
