[2026-03-20 10:23:32] [INFO    ] [MainProcess] Log file created: ./logs/ocr_run_20260320_102332.log | fname=
[2026-03-20 10:23:32] [INFO    ] [MainProcess] ========== OCR Pipeline Starting ========== | fname=INIT
[2026-03-20 10:23:32] [INFO    ] [MainProcess] Input directory : /home/whirldata/cpu_multi_paddle_try/march_20 | fname=INIT
[2026-03-20 10:23:32] [INFO    ] [MainProcess] Output directory: /home/whirldata/cpu_multi_paddle_try/ocr_output_march_20 | fname=INIT
[2026-03-20 10:23:32] [INFO    ] [MainProcess] Total vCPUs     : 60 | fname=INIT
[2026-03-20 10:23:32] [INFO    ] [MainProcess] Num workers     : 9 | fname=INIT
[2026-03-20 10:23:32] [INFO    ] [MainProcess] Threads/worker  : 6 | fname=INIT
[2026-03-20 10:23:32] [INFO    ] [MainProcess] Queue size      : 5 | fname=INIT
[2026-03-20 10:23:32] [INFO    ] [MainProcess] Supported exts  : {'.bmp', '.pdf', '.png', '.tiff', '.tif', '.jpeg', '.webp', '.jpg'} | fname=INIT
[2026-03-20 10:23:32] [INFO    ] [MainProcess] Total entries found in input directory: 56 | fname=SCAN
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] All entries: ['SAPS4_5100157510_US30_PFNAUS_2026_999872782.pdf', 'SAPS4_5100087022_US28_PFNAUS_2026_999884314.pdf', 'SAPS4_5100064048_US29_PFNAUS_2026_999935901.pdf', 'SAPS4_5100149541_US29_PFNAUS_2026_999930875.pdf', 'SAPS4_5100118536_US29_PFNAUS_2026_999884426.pdf', 'SAPS4_5100180002_US29_PFNAUS_2026_999872858.pdf', 'SAPS4_5100136510_US30_PFNAUS_2026_999872780.pdf', 'SAPS4_5100075529_US29_PFNAUS_2026_999884524.pdf', 'SAPS4_5100099021_US29_PFNAUS_2026_999872645.pdf', 'SAPS4_5100121006_CA11_PFNACA_2026_304667741.pdf', 'SAPS4_5100569525_US28_PFNAUS_2026_999930849.pdf', 'SAPS4_5100160055_US29_PFNAUS_2026_999872813.pdf', 'SAPS4_5100089050_US29_PFNAUS_2026_999936145.pdf', 'SAPS4_5100173501_CA11_PFNACA_2026_304672235.pdf', 'SAPS4_5100140544_US29_PFNAUS_2026_999872756.pdf', 'SAPS4_5100125049_US29_PFNAUS_2026_999872715.pdf', 'SAPS4_5100183046_US29_PFNAUS_2026_999872872.pdf', 'SAPS4_5100116558_US29_PFNAUS_2026_999936357.pdf', 'SAPS4_5100099544_US29_PFNAUS_2026_999884834.pdf', 'SAPS4_5100059542_US29_PFNAUS_2026_999884833.pdf', 'SAPS4_5100121006_US30_PFNAUS_2026_999885270.pdf', 'SAPS4_5100179024_US29_PFNAUS_2026_999885022.pdf', 'SAPS4_5100131507_US30_PFNAUS_2026_999936288.pdf', 'SAPS4_5100128522_US29_PFNAUS_2026_999936455.pdf', 'SAPS4_5100174059_US29_PFNAUS_2026_999872849.pdf', 'SAPS4_5100069044_US29_PFNAUS_2026_999884471.pdf', 'SAPS4_5100180529_US29_PFNAUS_2026_999872857.pdf', 'SAPS4_5100063520_US30_PFNAUS_2026_999872719.pdf', 'SAPS4_5100070510_CA11_PFNACA_2026_304658827.pdf', 'SAPS4_5100072068_US29_PFNAUS_2026_999746355.pdf', 'SAPS4_5100171505_CA11_PFNACA_2026_304654783.pdf', 'SAPS4_5100122054_US29_PFNAUS_2026_999872683.pdf', 'SAPS4_5100062568_US29_PFNAUS_2026_999930774.pdf', 'SAPS4_5100106021_US30_PFNAUS_2026_999930784.pdf', 'SAPS4_5100122517_US30_PFNAUS_2026_999936230.pdf', 'SAPS4_5100251036_US28_PFNAUS_2026_999746319.pdf', 'SAPS4_5100129049_US29_PFNAUS_2026_999872734.pdf', 'SAPS4_5100058060_US29_PFNAUS_2026_999884810.pdf', 'SAPS4_5100091534_US29_PFNAUS_2026_999884748.pdf', 'SAPS4_5100140547_US29_PFNAUS_2026_999936561.pdf', 'SAPS4_5100128520_US30_PFNAUS_2026_999872767.pdf', 'SAPS4_5100149033_US29_PFNAUS_2026_999884759.pdf', 'SAPS4_5100328001_US29_PFNAUS_2026_999706619.pdf', 'SAPS4_5100062075_US29_PFNAUS_2026_999935836.pdf', 'SAPS4_5100161509_US30_PFNAUS_2026_999872800.pdf', 'SAPS4_5100138519_US29_PFNAUS_2026_999936564.pdf', 'SAPS4_5100080066_US29_PFNAUS_2026_999872937.pdf', 'SAPS4_5100112518_US30_PFNAUS_2026_999706573.pdf', 'SAPS4_5100182564_US28_PFNAUS_2026_999706877.pdf', 'SAPS4_5100078514_CA11_PFNACA_2026_304667687.pdf', 'SAPS4_5100127041_US29_PFNAUS_2026_999884570.pdf', 'SAPS4_5100075062_US29_PFNAUS_2026_999872938.pdf', 'SAPS4_5100175537_US29_PFNAUS_2026_999884978.pdf', 'SAPS4_5100101537_US29_PFNAUS_2026_999936297.pdf', 'SAPS4_5100068031_US29_PFNAUS_2026_999872913.pdf', 'SAPS4_5100062073_US29_PFNAUS_2026_999884873.pdf'] | fname=SCAN
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100058060_US29_PFNAUS_2026_999884810.pdf (0.04 MB) | fname=SAPS4_5100058060_US29_PFNAUS_2026_999884810.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100059542_US29_PFNAUS_2026_999884833.pdf (0.04 MB) | fname=SAPS4_5100059542_US29_PFNAUS_2026_999884833.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100062073_US29_PFNAUS_2026_999884873.pdf (0.04 MB) | fname=SAPS4_5100062073_US29_PFNAUS_2026_999884873.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100062075_US29_PFNAUS_2026_999935836.pdf (0.03 MB) | fname=SAPS4_5100062075_US29_PFNAUS_2026_999935836.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100062568_US29_PFNAUS_2026_999930774.pdf (0.16 MB) | fname=SAPS4_5100062568_US29_PFNAUS_2026_999930774.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100063520_US30_PFNAUS_2026_999872719.pdf (0.90 MB) | fname=SAPS4_5100063520_US30_PFNAUS_2026_999872719.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100064048_US29_PFNAUS_2026_999935901.pdf (0.05 MB) | fname=SAPS4_5100064048_US29_PFNAUS_2026_999935901.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100068031_US29_PFNAUS_2026_999872913.pdf (0.10 MB) | fname=SAPS4_5100068031_US29_PFNAUS_2026_999872913.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100069044_US29_PFNAUS_2026_999884471.pdf (0.09 MB) | fname=SAPS4_5100069044_US29_PFNAUS_2026_999884471.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100070510_CA11_PFNACA_2026_304658827.pdf (0.34 MB) | fname=SAPS4_5100070510_CA11_PFNACA_2026_304658827.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100072068_US29_PFNAUS_2026_999746355.pdf (0.07 MB) | fname=SAPS4_5100072068_US29_PFNAUS_2026_999746355.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100075062_US29_PFNAUS_2026_999872938.pdf (1.00 MB) | fname=SAPS4_5100075062_US29_PFNAUS_2026_999872938.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100075529_US29_PFNAUS_2026_999884524.pdf (0.04 MB) | fname=SAPS4_5100075529_US29_PFNAUS_2026_999884524.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100078514_CA11_PFNACA_2026_304667687.pdf (0.02 MB) | fname=SAPS4_5100078514_CA11_PFNACA_2026_304667687.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100080066_US29_PFNAUS_2026_999872937.pdf (0.11 MB) | fname=SAPS4_5100080066_US29_PFNAUS_2026_999872937.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100087022_US28_PFNAUS_2026_999884314.pdf (0.03 MB) | fname=SAPS4_5100087022_US28_PFNAUS_2026_999884314.pdf
[2026-03-20 10:23:32] [DEBUG   ] [MainProcess] Queuing file: SAPS4_5100089050_US29_PFNAUS_2026_999936145.pdf (0.09 MB) | fname=SAPS4_5100089050_US29_PFNAUS_2026_999936145.pdf
