[2026-02-10 10:18:02] [INFO    ] [MainProcess] Log file created: ./logs/ocr_run_20260210_101802.log | fname=
[2026-02-10 10:18:02] [INFO    ] [MainProcess] ========== OCR Pipeline Starting ========== | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Input directory : /home/whirldata/cpu_multi_paddle_try/attachments | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Output directory: /home/whirldata/cpu_multi_paddle_try/ocr_output | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Total vCPUs     : 30 | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Num workers     : 8 | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Threads/worker  : 3 | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Queue size      : 5 | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Supported exts  : {'.tif', '.tiff', '.png', '.pdf', '.bmp', '.webp', '.jpg', '.jpeg'} | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Total entries found in input directory: 10 | fname=SCAN
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] All entries: ['0001_1700000449_2025_01.PDF', '0001_1700000446_2025_01.PDF', '0001_1700000451_2025_01.PDF', '0001_1700000448_2025_01.PDF', '0002_1700000096_2025_01.PDF', '0001_1700000455_2025_01.PDF', '0001_1700000356_2025_02.PDF', '0001_1700000454_2025_01.PDF', '0001_1700000163_2025_01.PDF', '0038_1700000012_2025_01.PDF'] | fname=SCAN
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000163_2025_01.PDF (0.02 MB) | fname=0001_1700000163_2025_01.PDF
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000356_2025_02.PDF (0.02 MB) | fname=0001_1700000356_2025_02.PDF
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000446_2025_01.PDF (0.25 MB) | fname=0001_1700000446_2025_01.PDF
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000448_2025_01.PDF (0.76 MB) | fname=0001_1700000448_2025_01.PDF
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000449_2025_01.PDF (0.28 MB) | fname=0001_1700000449_2025_01.PDF
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000451_2025_01.PDF (0.01 MB) | fname=0001_1700000451_2025_01.PDF
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000454_2025_01.PDF (0.01 MB) | fname=0001_1700000454_2025_01.PDF
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Queuing file: 0001_1700000455_2025_01.PDF (0.25 MB) | fname=0001_1700000455_2025_01.PDF
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Queuing file: 0002_1700000096_2025_01.PDF (0.24 MB) | fname=0002_1700000096_2025_01.PDF
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Queuing file: 0038_1700000012_2025_01.PDF (0.17 MB) | fname=0038_1700000012_2025_01.PDF
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Files to process: 10, Skipped: 0 | fname=SCAN
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Multiprocessing start method set to 'spawn' | fname=INIT
[2026-02-10 10:18:02] [DEBUG   ] [MainProcess] Task queue created with maxsize=5 | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Spawning 8 worker processes... | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Worker-0 started (PID=88523) | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Worker-1 started (PID=88524) | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Worker-2 started (PID=88525) | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Worker-3 started (PID=88526) | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Worker-4 started (PID=88527) | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Worker-5 started (PID=88528) | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Worker-6 started (PID=88529) | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Worker-7 started (PID=88530) | fname=INIT
[2026-02-10 10:18:02] [INFO    ] [MainProcess] Enqueuing 10 file(s)... | fname=ENQUEUE
